Region,Industry,2017_c,2017_w,2018_c,2018_w,2019_c,2019_w,2020_c,2020_w,2021_c,2021_w,2022_c,2022_w,2019_diff_2018,2020_diff_2019,2021_diff_2020,2022_diff_2021,2023_predict
서울특별시 종로구,A,3,30,3,17,3,18,4,29,4,21,3,20,1,11,-8,-1,big_increase
서울특별시 종로구,B,5,19,3,9,4,9,3,8,3,64,3,85,0,-1,56,21,big_increase
서울특별시 종로구,C,2095,10080,2018,9992,1999,9958,1756,8418,1721,7834,1725,7983,-34,-1540,-584,149,small_increase
서울특별시 종로구,D,7,363,12,350,11,484,11,444,8,521,8,623,134,-40,77,102,big_increase
서울특별시 종로구,E,6,136,7,126,7,131,7,98,6,97,6,117,5,-33,-1,20,big_increase
서울특별시 종로구,F,226,30618,216,30169,234,23983,189,28036,200,22693,228,27128,-6186,4053,-5343,4435,small_decrease
서울특별시 종로구,G,7406,33168,6450,31258,6864,31311,6270,28934,6038,31152,5849,28553,53,-2377,2218,-2599,small_increase
서울특별시 종로구,H,500,5956,459,6316,466,6628,449,6825,428,6884,470,6458,312,197,59,-426,small_increase
서울특별시 종로구,I,4551,23441,4270,24201,4390,23327,3407,17191,3387,17559,3599,20258,-874,-6136,368,2699,small_decrease
서울특별시 종로구,J,669,18045,637,18005,563,15691,620,15711,685,15459,827,16150,-2314,20,-252,691,small_increase
서울특별시 종로구,K,479,19532,497,19193,524,23333,500,25076,528,23661,569,22763,4140,1743,-1415,-898,small_increase
서울특별시 종로구,L,774,6696,696,6431,787,6148,828,6052,642,6999,694,6520,-283,-96,947,-479,small_increase
서울특별시 종로구,M,1126,19942,1152,21371,1179,22160,1221,24606,1353,24843,1538,27591,789,2446,237,2748,small_increase
서울특별시 종로구,N,1025,18776,995,17902,1014,18873,926,17247,897,17960,950,18593,971,-1626,713,633,small_increase
서울특별시 종로구,P,606,10382,561,10440,547,10655,503,10260,490,9767,518,10092,215,-395,-493,325,small_increase
서울특별시 종로구,Q,684,15725,684,15631,692,17119,706,18429,672,18211,719,20994,1488,1310,-218,2783,small_increase
서울특별시 종로구,R,528,4456,507,4412,539,4276,439,3465,447,3166,470,3531,-136,-811,-299,365,small_increase
서울특별시 종로구,S,1246,6552,1168,5933,1209,6059,1095,4959,1018,5095,1101,6267,126,-1100,136,1172,small_decrease
