Region,Industry,2017_c,2017_w,2018_c,2018_w,2019_c,2019_w,2020_c,2020_w,2021_c,2021_w,2022_c,2022_w,labeling,Industry Distribution
서울특별시 종로구,A,3,30,3,17,3,18,4,29,4,21,3,20,D,8.939506360458775e-05
서울특별시 종로구,B,5,19,3,9,4,9,3,8,3,64,3,85,D,0.00037992902031949797
서울특별시 종로구,C,2095,10080,2018,9992,1999,9958,1756,8418,1721,7834,1725,7983,D,0.0356820396377712
서울특별시 종로구,D,7,363,12,350,11,484,11,444,8,521,8,623,D,0.0027846562312829086
서울특별시 종로구,E,6,136,7,126,7,131,7,98,6,97,6,117,D,0.0005229611220868383
서울특별시 종로구,F,226,30618,216,30169,234,23983,189,28036,200,22693,228,27128,D,0.12125546427326284
서울특별시 종로구,G,7406,33168,6450,31258,6864,31311,6270,28934,6038,31152,5849,28553,D,0.1276248625550897
서울특별시 종로구,H,500,5956,459,6316,466,6628,449,6825,428,6884,470,6458,D,0.028865666037921386
서울특별시 종로구,I,4551,23441,4270,24201,4390,23327,3407,17191,3387,17559,3599,20258,D,0.09054825992508694
서울특별시 종로구,J,669,18045,637,18005,563,15691,620,15711,685,15459,827,16150,D,0.07218651386070461
서울특별시 종로구,K,479,19532,497,19193,524,23333,500,25076,528,23661,569,22763,D,0.10174499164156155
서울특별시 종로구,L,774,6696,696,6431,787,6148,828,6052,642,6999,694,6520,D,0.029142790735095608
서울특별시 종로구,M,1126,19942,1152,21371,1179,22160,1221,24606,1353,24843,1538,27591,D,0.12332495999570904
서울특별시 종로구,N,1025,18776,995,17902,1014,18873,926,17247,897,17960,950,18593,D,0.083106120880005
서울특별시 종로구,P,606,10382,561,10440,547,10655,503,10260,490,9767,518,10092,D,0.04510874909487498
서울특별시 종로구,Q,684,15725,684,15631,692,17119,706,18429,672,18211,719,20994,D,0.09383799826573577
서울특별시 종로구,R,528,4456,507,4412,539,4276,439,3465,447,3166,470,3531,D,0.015782698479389966
서울특별시 종로구,S,1246,6552,1168,5933,1209,6059,1095,4959,1018,5095,1101,6267,D,0.028011943180497573
서울특별시 중구,A,0,0,0,0,0,0,0,0,0,0,0,0,D,0.0
서울특별시 중구,B,2,3,2,3,1,5,1,5,1,10,1,10,D,3.118149814625994e-05
서울특별시 중구,C,6149,25794,5662,24733,5579,24544,4174,18023,4161,17356,4083,17812,D,0.055540484498118194
서울특별시 중구,D,5,689,6,724,4,706,6,714,6,724,6,632,D,0.001970670682843628
서울특별시 중구,E,8,162,8,172,10,195,10,202,11,188,18,199,D,0.0006205118131105727
서울특별시 중구,F,313,5353,291,4776,300,7251,233,6246,275,7071,278,6795,D,0.021187827990383625
서울특별시 중구,G,15715,75981,15510,78070,15962,76355,10274,55401,9588,54012,9379,56036,D,0.17472864301238217
서울특별시 중구,H,864,12991,860,13087,817,12660,739,12982,762,12469,770,11510,D,0.035889904366345184
서울특별시 중구,I,4537,29437,4448,30641,4756,32572,3491,23325,3621,23482,3635,25306,D,0.0789078992089254
서울특별시 중구,J,735,25124,744,24982,791,25809,771,25861,966,27393,1106,30336,D,0.09459219277649414
서울특별시 중구,K,1076,51190,1044,49909,1134,51363,1102,51082,1229,61980,1167,62405,D,0.19458813918173512
서울특별시 중구,L,1031,8216,1042,8547,1155,8793,1157,8812,1031,8337,1050,7832,D,0.02442134934815078
서울특별시 중구,M,2047,35452,2086,35484,2136,35795,1965,36675,2131,39165,2106,39690,D,0.12375936614250568
서울특별시 중구,N,1245,35906,1222,38366,1279,38197,1125,34314,1199,35712,1213,34521,D,0.10764164975070392
서울특별시 중구,P,309,6959,328,7004,349,7299,335,7892,357,7953,362,8304,D,0.02589311606065425
서울특별시 중구,Q,696,9223,708,9873,731,10157,734,10581,736,11162,752,11072,D,0.034524154747539
서울특별시 중구,R,299,2237,312,2306,324,2374,221,2100,222,1944,236,1690,D,0.005269673186717929
서울특별시 중구,S,1193,7286,1178,7205,1206,6991,970,5842,942,6136,927,6553,D,0.020433235735244134
서울특별시 용산구,A,0,0,0,0,0,0,2,15,3,7,1,1,I,8.46904985729651e-06
서울특별시 용산구,B,0,0,0,0,0,0,0,0,0,0,0,0,I,0.0
서울특별시 용산구,C,569,2785,528,2608,487,2422,441,2226,335,1578,353,1782,I,0.01509184684570238
서울특별시 용산구,D,3,10,3,42,2,4,2,22,1,28,2,14,I,0.00011856669800215114
서울특별시 용산구,E,8,138,8,146,9,140,9,98,12,198,12,224,I,0.0018970671680344183
서울특별시 용산구,F,277,6660,264,7403,269,7091,216,5965,227,5038,249,5148,I,0.04359866866536243
서울특별시 용산구,G,4005,23820,3891,27257,3934,28670,3610,27165,3617,27386,3475,27494,I,0.23284805677651024
서울특별시 용산구,H,181,2729,177,2839,174,2919,155,2870,149,2697,152,2837,I,0.0240266944451502
서울특별시 용산구,I,2882,15974,2909,17079,3051,16183,2337,12407,2435,12826,2462,13944,I,0.11809243121014254
서울특별시 용산구,J,408,9089,370,9254,356,9334,370,9314,422,9394,535,12723,I,0.1077517213343835
서울특별시 용산구,K,263,5839,241,5057,232,5068,223,4319,220,5346,244,6213,I,0.05261820676338322
서울특별시 용산구,L,501,3775,512,3574,571,3608,541,3039,447,2603,447,2391,I,0.020249498208795954
서울특별시 용산구,M,602,17610,620,15225,656,15897,633,16319,668,17059,751,17090,I,0.14473606206119735
서울특별시 용산구,N,268,11739,282,10188,300,11207,267,11700,266,12465,276,9750,I,0.08257323610864097
서울특별시 용산구,P,336,5482,321,5601,312,5145,307,5289,274,4654,304,5149,I,0.04360713771521973
서울특별시 용산구,Q,511,6136,534,6430,521,6945,515,7647,484,7005,526,7381,I,0.06251005699670555
서울특별시 용산구,R,193,1328,193,1779,208,1542,161,1224,176,1552,175,2118,I,0.017937447597754008
서울특별시 용산구,S,748,4647,735,4934,717,4499,632,3750,591,3841,611,3818,I,0.03233483235515808
서울특별시 성동구,A,1,2,1,3,2,5,2,9,4,12,4,12,I,6.918061328613678e-05
서울특별시 성동구,B,0,0,0,0,0,0,0,0,1,2,1,2,I,1.153010221435613e-05
서울특별시 성동구,C,3215,26338,3130,25406,2973,24480,2753,21620,3026,22890,3001,22517,I,0.1298116557803285
서울특별시 성동구,D,5,410,12,420,11,474,13,446,13,444,13,433,I,0.0024962671294081022
서울특별시 성동구,E,19,246,19,301,18,288,18,320,20,360,22,362,I,0.0020869485007984595
서울특별시 성동구,F,484,5791,484,5582,493,6146,431,6323,538,6180,530,7195,I,0.04147954271614618
서울특별시 성동구,G,4410,28938,4385,29320,4712,31357,4511,29158,4809,33097,4953,33940,I,0.19566583457762354
서울특별시 성동구,H,232,5800,252,6214,246,6229,217,5919,247,6605,262,5766,I,0.03324128468398872
서울특별시 성동구,I,2107,9309,2152,10004,2337,10673,1938,8365,2134,9389,2308,11161,I,0.06434373540721439
서울특별시 성동구,J,658,8569,762,10582,805,11544,963,13526,1292,17930,1633,20727,I,0.11949221429847975
서울특별시 성동구,K,253,3978,278,4295,279,3857,270,3722,269,4094,272,3713,I,0.021405634760952155
서울특별시 성동구,L,657,4738,700,4754,755,4993,708,4224,837,4374,909,4736,I,0.027303282043595316
서울특별시 성동구,M,1004,11476,1167,12938,1399,14856,1463,15863,1846,20516,2128,22363,I,0.12892383790982306
서울특별시 성동구,N,307,15413,323,18978,373,17528,370,17678,459,16321,478,15043,I,0.08672366380527963
서울특별시 성동구,P,512,8267,521,8111,562,8462,499,7633,508,6889,553,7886,I,0.045463193031206224
서울특별시 성동구,Q,718,8161,719,8314,735,9045,748,9255,751,9204,775,10042,I,0.05789264321828213
서울특별시 성동구,R,234,1505,241,1496,283,1505,220,1508,251,1681,265,1710,I,0.009858237393274492
서울특별시 성동구,S,889,6161,870,6171,864,6412,759,5538,773,5546,809,5851,I,0.03373131402809886
서울특별시 광진구,A,1,3,1,3,0,0,0,0,1,2,3,4,D,4.0811329224992855e-05
서울특별시 광진구,B,0,0,0,0,0,0,0,0,0,0,0,0,D,0.0
서울특별시 광진구,C,1203,6673,1129,6381,1077,6093,926,4978,912,4511,963,4973,D,0.05073868505897237
서울특별시 광진구,D,2,3,2,68,2,7,1,1,3,11,2,8,D,8.162265844998571e-05
서울특별시 광진구,E,11,147,11,150,11,146,10,147,12,149,13,192,D,0.0019589438027996574
서울특별시 광진구,F,602,12572,597,13453,621,13219,495,9399,521,12437,564,12744,D,0.13002489491082725
서울특별시 광진구,G,2977,15582,2819,15215,3006,15981,2719,13990,2769,13715,2646,14052,D,0.1433701995673999
서울특별시 광진구,H,164,3776,168,3472,171,2911,141,2588,164,2597,167,2682,D,0.02736399624535771
서울특별시 광진구,I,2502,13240,2616,13821,2767,13707,2094,10634,2159,10298,2370,11671,D,0.11907725584622292
서울특별시 광진구,J,308,2700,281,2710,279,2224,284,2097,337,3301,462,3411,D,0.03480186099661266
서울특별시 광진구,K,197,4557,203,4712,200,4105,181,2815,184,2770,197,2686,D,0.027404807574582704
서울특별시 광진구,L,472,2393,488,2807,541,3136,535,2708,592,2955,601,2609,D,0.026619189487001593
서울특별시 광진구,M,542,3754,594,4490,612,4752,605,4496,723,5329,779,6237,D,0.06363506509407012
서울특별시 광진구,N,318,9848,320,10054,370,9635,326,11525,355,8692,360,9292,D,0.0948047177896584
서울특별시 광진구,P,641,11212,630,11057,677,11161,639,10220,606,11185,625,10065,D,0.10269150716238828
서울특별시 광진구,Q,869,10056,875,10963,885,10898,896,11084,889,11464,930,11951,D,0.12193404889197242
서울특별시 광진구,R,373,2889,390,3050,397,3377,278,2342,261,2223,300,2474,D,0.025241807125658083
서울특별시 광진구,S,872,3621,851,3625,896,3941,743,3272,732,2872,760,2961,D,0.030210586458800964
서울특별시 동대문구,A,0,0,0,0,0,0,0,0,1,2,2,7,D,6.867592810611411e-05
서울특별시 동대문구,B,1,1,1,1,2,4,1,1,0,0,0,0,D,0.0
서울특별시 동대문구,C,2263,12461,2145,11968,2008,11334,1852,10059,1695,9214,1771,9293,D,0.09117219998430265
서울특별시 동대문구,D,1,3,1,2,2,3,1,1,0,0,0,0,D,0.0
서울특별시 동대문구,E,10,128,10,131,12,122,12,178,10,229,11,228,D,0.00223687308688486
서울특별시 동대문구,F,549,5972,545,5572,572,5601,408,4367,442,3791,462,4102,D,0.04024409387018287
서울특별시 동대문구,G,4811,23322,4456,23026,4719,23368,4174,20897,3965,20003,4106,20075,D,0.196952750961463
서울특별시 동대문구,H,192,3468,192,3132,185,3170,156,2396,164,2534,157,2551,D,0.025027470371242446
서울특별시 동대문구,I,2505,10499,2395,10745,2662,11161,1864,7405,1901,7689,2028,8745,D,0.08579585589828113
서울특별시 동대문구,J,180,1484,168,1711,154,1525,168,1536,197,1561,235,1626,D,0.01595243701436308
서울특별시 동대문구,K,261,4969,252,4287,235,3979,218,3902,234,3915,236,4302,D,0.04220626324464328
서울특별시 동대문구,L,574,3754,568,3705,610,3540,625,3385,584,3460,580,3325,D,0.03262106585040421
서울특별시 동대문구,M,447,6822,472,6496,489,6747,468,7169,558,7092,600,6167,D,0.06050349266148654
서울특별시 동대문구,N,305,8938,293,8496,330,8430,285,10606,288,7662,306,7910,D,0.07760379875990896
서울특별시 동대문구,P,566,10930,567,11825,609,12294,515,10776,511,10996,542,12053,D,0.11825013735185622
서울특별시 동대문구,Q,974,14009,978,13774,1008,14376,980,15606,968,16256,1020,17205,D,0.1687956204379562
서울특별시 동대문구,R,305,1797,329,1884,322,1733,223,1397,217,1406,257,1723,D,0.016904089160976375
서울특별시 동대문구,S,836,3275,839,3374,875,3289,749,2650,671,2337,739,2616,D,0.025665175417942075
서울특별시 중랑구,A,0,0,0,0,0,0,0,0,0,0,0,0,D,0.0
서울특별시 중랑구,B,1,3,1,3,0,0,0,0,2,5,2,4,D,5.5084278946788584e-05
서울특별시 중랑구,C,2525,14670,2391,13780,2224,12834,1953,10792,2021,10722,2108,11476,D,0.15803679629833645
서울특별시 중랑구,D,5,122,5,108,4,116,4,172,3,104,3,101,D,0.0013908780434064118
서울특별시 중랑구,E,13,201,16,215,13,195,15,188,12,135,19,155,D,0.0021345158091880577
서울특별시 중랑구,F,734,5257,736,5781,811,6231,498,4910,573,5367,622,5494,D,0.07565825713341412
서울특별시 중랑구,G,2253,11888,2110,11757,2217,11533,1910,9869,1924,9947,1987,10467,D,0.14414178693400903
서울특별시 중랑구,H,210,7264,222,6760,227,6165,183,5313,181,5079,164,4880,D,0.06720282031508208
서울특별시 중랑구,I,1843,7619,1742,7670,1909,8043,1328,5612,1487,6165,1628,7009,D,0.0965214277845103
서울특별시 중랑구,J,91,874,94,813,99,644,112,823,147,908,165,1039,D,0.014308141456428336
서울특별시 중랑구,K,128,1689,136,1772,135,1717,128,1695,123,1582,131,1588,D,0.02186845874187507
서울특별시 중랑구,L,383,1974,393,2120,466,2310,428,1917,440,2063,421,1723,D,0.023727553156329184
서울특별시 중랑구,M,237,1537,242,1552,261,1586,267,1262,300,1668,318,1866,D,0.025696816128676876
서울특별시 중랑구,N,212,2706,212,2616,273,2997,212,2579,221,3643,246,3958,D,0.054505894017847306
서울특별시 중랑구,P,477,4557,450,4594,459,4662,421,3968,430,3953,445,3965,D,0.05460229150600419
서울특별시 중랑구,Q,950,11346,960,11800,994,12746,1013,13613,1018,13935,1051,15163,D,0.20881073041753884
서울특별시 중랑구,R,295,1575,313,1688,334,1748,235,1290,233,1374,250,1397,D,0.019238184422165915
서울특별시 중랑구,S,866,2916,879,3048,913,2959,781,2313,731,2323,745,2331,D,0.032100363556241046
서울특별시 성북구,A,0,0,0,0,0,0,0,0,0,0,0,0,I,0.0
서울특별시 성북구,B,0,0,0,0,0,0,0,0,0,0,0,0,I,0.0
서울특별시 성북구,C,1491,7794,1363,6901,1318,6631,1176,6071,1175,5511,1267,5780,I,0.06743513160350943
서울특별시 성북구,D,4,10,4,9,2,6,1,1,3,5,2,6,I,7.000186671644577e-05
서울특별시 성북구,E,7,171,7,172,9,164,10,218,13,225,14,253,I,0.0029517453798767967
서울특별시 성북구,F,376,3560,361,3706,401,3858,284,3432,315,3101,352,4750,I,0.055418144483852905
서울특별시 성북구,G,2162,11806,2014,11600,2145,11451,1889,9913,1885,10211,1894,10026,I,0.11697311928318088
서울특별시 성북구,H,106,3290,103,3078,103,2668,91,2521,86,2279,88,2338,I,0.027277394063841703
서울특별시 성북구,I,2171,9462,2145,10011,2339,10320,1718,7237,1838,8053,1972,8701,I,0.10151437371663244
서울특별시 성북구,J,161,1452,162,1598,172,1623,180,1784,250,2015,267,1821,I,0.021245566548441293
서울특별시 성북구,K,135,1582,128,1493,129,1559,120,1386,126,1465,129,1477,I,0.017232126190031734
서울특별시 성북구,L,374,1870,370,1859,425,2968,430,1941,436,1914,430,1791,I,0.020895557214859063
서울특별시 성북구,M,324,3812,335,4174,350,5243,332,4772,409,6140,443,6348,I,0.07406197498599963
서울특별시 성북구,N,161,5476,162,5148,192,5941,163,5634,183,5479,197,4820,I,0.056234832928878105
서울특별시 성북구,P,749,15848,737,16366,737,17006,680,16616,660,16107,691,16154,I,0.18846835915624416
서울특별시 성북구,Q,1024,12205,995,12475,999,12927,1005,15200,978,15449,1031,16735,I,0.19524687324995332
서울특별시 성북구,R,294,1536,317,1716,340,1766,252,1255,259,1432,268,1484,I,0.017313795034534254
서울특별시 성북구,S,996,3990,939,3725,935,3663,800,2826,782,3010,834,3228,I,0.037661004293447826
서울특별시 강북구,A,0,0,0,0,0,0,0,0,0,0,1,2,D,3.8969642648376916e-05
서울특별시 강북구,B,0,0,0,0,0,0,0,0,0,0,0,0,D,0.0
서울특별시 강북구,C,964,5802,902,5133,892,5037,753,4048,810,4093,795,4041,D,0.07873816297104555
서울특별시 강북구,D,1,80,1,83,2,83,1,83,1,83,1,85,D,0.0016562098125560188
서울특별시 강북구,E,7,163,6,174,6,172,8,203,11,146,10,199,D,0.003877479443513503
서울특별시 강북구,F,265,1765,269,1835,288,1912,215,1585,267,2220,266,1943,D,0.037859007832898174
서울특별시 강북구,G,1512,7752,1411,7588,1622,7928,1363,6158,1456,6606,1483,6592,D,0.1284439421690503
서울특별시 강북구,H,99,3627,102,3409,94,3196,78,3105,95,2945,96,3231,D,0.0629554576984529
서울특별시 강북구,I,1761,7825,1609,7578,1849,8327,1285,5747,1388,6173,1461,7082,D,0.13799150461790266
서울특별시 강북구,J,67,643,69,611,82,686,77,488,92,580,111,647,D,0.012606679396749932
서울특별시 강북구,K,222,3996,233,4137,236,4110,204,3696,194,4075,188,3791,D,0.07386695763999844
서울특별시 강북구,L,286,1439,266,1392,293,1294,259,1144,297,1254,300,1232,D,0.02400529987140018
서울특별시 강북구,M,206,1044,217,1102,221,1144,218,1060,257,1311,266,1276,D,0.02486263200966447
서울특별시 강북구,N,146,3231,134,3338,153,3660,131,3424,162,3036,146,3594,D,0.07002844783913331
서울특별시 강북구,P,339,3362,319,3332,354,3585,310,3197,304,3464,322,3606,D,0.07026226569502357
서울특별시 강북구,Q,794,7850,794,8443,798,9237,799,9698,807,10246,829,10537,D,0.2053115622929738
서울특별시 강북구,R,262,1438,273,1476,286,1580,171,1003,183,1122,198,1392,D,0.027122871283270334
서울특별시 강북구,S,743,2806,721,2707,736,2702,603,2126,582,2112,606,2072,D,0.04037254978371849
서울특별시 도봉구,A,1,2,1,3,1,1,0,0,0,0,1,3,D,6.303183107469272e-05
서울특별시 도봉구,B,0,0,0,0,1,1,0,0,0,0,0,0,D,0.0
서울특별시 도봉구,C,695,3967,652,3607,599,3265,524,2764,465,2246,498,2414,D,0.05071961340476941
서울특별시 도봉구,D,0,0,0,0,3,21,3,25,2,30,1,7,D,0.00014707427250761635
서울특별시 도봉구,E,10,139,10,133,9,124,9,77,11,164,11,154,D,0.00323563399516756
서울특별시 도봉구,F,337,2918,347,3193,354,3380,244,2893,275,2737,254,2043,D,0.04292467696186574
서울특별시 도봉구,G,1531,8254,1460,8308,1519,8364,1232,6268,1264,6600,1244,6645,D,0.13961550583044438
서울특별시 도봉구,H,98,5135,99,5029,92,4152,70,3630,82,3699,77,3690,D,0.07752915222187204
서울특별시 도봉구,I,1282,5334,1214,5578,1346,6035,931,4150,1082,4542,1015,4431,D,0.09309801449732115
서울특별시 도봉구,J,60,357,58,404,54,377,50,270,69,436,81,483,D,0.010148124803025528
서울특별시 도봉구,K,117,1299,117,1264,101,1089,95,1004,103,1098,106,1153,D,0.024225233743040236
서울특별시 도봉구,L,327,2060,330,2211,369,2243,303,2446,327,2797,309,2662,D,0.05593024477361067
서울특별시 도봉구,M,255,1703,259,1676,257,1665,226,1441,280,1832,294,1813,D,0.03809223657947263
서울특별시 도봉구,N,119,1289,121,1768,134,1975,123,1782,145,2073,147,3152,D,0.06622544384914382
서울특별시 도봉구,P,526,4277,515,4333,495,4048,389,3629,350,3240,389,3381,D,0.07103687362117869
서울특별시 도봉구,Q,829,9484,815,11448,804,11334,782,11523,758,11666,811,12357,D,0.2596281121966593
서울특별시 도봉구,R,254,1412,267,1446,269,1320,153,776,155,863,160,870,D,0.018279231011660887
서울특별시 도봉구,S,736,2815,724,2801,734,2897,596,2474,548,2281,582,2337,D,0.04910179640718563
서울특별시 노원구,A,1,2,1,1,1,1,1,2,2,16,2,3,D,3.507295173961841e-05
서울특별시 노원구,B,0,0,0,0,0,0,0,0,0,0,0,0,D,0.0
서울특별시 노원구,C,507,3551,497,3216,484,3094,417,2701,437,2632,447,2592,D,0.030303030303030304
서울특별시 노원구,D,4,214,5,310,5,285,5,296,5,275,5,292,D,0.0034137673026561916
서울특별시 노원구,E,12,160,10,212,17,232,13,178,14,142,16,145,D,0.0016951926674148897
서울특별시 노원구,F,324,2120,337,2219,352,2247,296,2566,332,3159,345,2527,D,0.029543116348671905
서울특별시 노원구,G,2538,12351,2442,12520,2586,12528,2061,9915,2033,10206,2029,10113,D,0.11823092031425365
서울특별시 노원구,H,129,6309,132,6175,146,5602,118,4964,126,5136,124,4934,D,0.05768331462775907
서울특별시 노원구,I,2245,11434,2175,11468,2346,11738,1851,8850,1950,9752,1975,10091,D,0.11797371866816311
서울특별시 노원구,J,124,922,103,824,114,730,125,691,138,872,186,944,D,0.011036288814066592
서울특별시 노원구,K,222,4294,212,4229,212,3770,191,3390,198,3786,203,3272,D,0.038252899364010474
서울특별시 노원구,L,589,3853,583,3512,592,3726,577,3361,548,2996,541,3081,D,0.0360199214365881
서울특별시 노원구,M,311,2217,309,3115,337,2649,319,2359,333,2557,355,2603,D,0.03043163112607557
서울특별시 노원구,N,210,4990,203,4467,212,4890,171,4474,201,6948,214,5456,D,0.06378600823045268
서울특별시 노원구,P,1135,14132,1056,14009,1088,13212,876,12081,861,12306,886,12505,D,0.14619575383464273
서울특별시 노원구,Q,1435,17905,1419,18215,1410,19111,1375,19101,1389,20154,1419,21909,D,0.2561377665544332
서울특별시 노원구,R,385,2054,387,2188,462,2251,291,1522,303,1750,311,1831,D,0.021406191545080434
서울특별시 노원구,S,953,3589,922,3545,963,3433,826,2836,760,2818,830,3238,D,0.03785540591096147
서울특별시 은평구,A,0,0,0,0,0,0,0,0,0,0,1,1,I,1.506046777812919e-05
서울특별시 은평구,B,0,0,0,0,0,0,0,0,0,0,0,0,I,0.0
서울특별시 은평구,C,441,2565,406,2383,455,2409,358,1872,399,2030,431,2157,I,0.03248542899742466
서울특별시 은평구,D,5,159,5,158,4,162,4,160,4,157,2,147,I,0.002213888763384991
