Region,Industry,2017_c,2017_w,2018_c,2018_w,2019_c,2019_w,2020_c,2020_w,2021_c,2021_w,2022_c,2022_w,GRDP,Factor_Income
서울특별시 종로구,A,3,30,3,17,3,18,4,29,4,21,3,20,7422,6121
서울특별시 종로구,B,5,19,3,9,4,9,3,8,3,64,3,85,8547,98
서울특별시 종로구,C,2095,10080,2018,9992,1999,9958,1756,8418,1721,7834,1725,7983,426443,334742
서울특별시 종로구,D,7,363,12,350,11,484,11,444,8,521,8,623,49934,14654
서울특별시 종로구,E,6,136,7,126,7,131,7,98,6,97,6,117,,
서울특별시 종로구,F,226,30618,216,30169,234,23983,189,28036,200,22693,228,27128,319247,299127
서울특별시 종로구,G,7406,33168,6450,31258,6864,31311,6270,28934,6038,31152,5849,28553,2673115,2436210
서울특별시 종로구,H,500,5956,459,6316,466,6628,449,6825,428,6884,470,6458,1001801,758747
서울특별시 종로구,I,4551,23441,4270,24201,4390,23327,3407,17191,3387,17559,3599,20258,492446,445444
서울특별시 종로구,J,669,18045,637,18005,563,15691,620,15711,685,15459,827,16150,3273048,2525730
서울특별시 종로구,K,479,19532,497,19193,524,23333,500,25076,528,23661,569,22763,9833520,8833819
서울특별시 종로구,L,774,6696,696,6431,787,6148,828,6052,642,6999,694,6520,1919167,1143407
서울특별시 종로구,M,1126,19942,1152,21371,1179,22160,1221,24606,1353,24843,1538,27591,,
서울특별시 종로구,N,1025,18776,995,17902,1014,18873,926,17247,897,17960,950,18593,3679029,3289114
서울특별시 종로구,P,606,10382,561,10440,547,10655,503,10260,490,9767,518,10092,878025,749179
서울특별시 종로구,Q,684,15725,684,15631,692,17119,706,18429,672,18211,719,20994,1318386,1196365
서울특별시 종로구,R,528,4456,507,4412,539,4276,439,3465,447,3166,470,3531,560708,396001
서울특별시 종로구,S,1246,6552,1168,5933,1209,6059,1095,4959,1018,5095,1101,6267,,
서울특별시 중구,A,0,0,0,0,0,0,0,0,0,0,0,0,38,25
서울특별시 중구,B,2,3,2,3,1,5,1,5,1,10,1,10,28,23
서울특별시 중구,C,6149,25794,5662,24733,5579,24544,4174,18023,4161,17356,4083,17812,1206633,1037664
서울특별시 중구,D,5,689,6,724,4,706,6,714,6,724,6,632,60976,18067
서울특별시 중구,E,8,162,8,172,10,195,10,202,11,188,18,199,,
서울특별시 중구,F,313,5353,291,4776,300,7251,233,6246,275,7071,278,6795,508164,475532
서울특별시 중구,G,15715,75981,15510,78070,15962,76355,10274,55401,9588,54012,9379,56036,6617073,6030992
서울특별시 중구,H,864,12991,860,13087,817,12660,739,12982,762,12469,770,11510,1772309,1197126
서울특별시 중구,I,4537,29437,4448,30641,4756,32572,3491,23325,3621,23482,3635,25306,833748,653072
서울특별시 중구,J,735,25124,744,24982,791,25809,771,25861,966,27393,1106,30336,6485642,4001007
서울특별시 중구,K,1076,51190,1044,49909,1134,51363,1102,51082,1229,61980,1167,62405,24118787,21854269
서울특별시 중구,L,1031,8216,1042,8547,1155,8793,1157,8812,1031,8337,1050,7832,1119070,593048
서울특별시 중구,M,2047,35452,2086,35484,2136,35795,1965,36675,2131,39165,2106,39690,,
서울특별시 중구,N,1245,35906,1222,38366,1279,38197,1125,34314,1199,35712,1213,34521,5530983,4984084
서울특별시 중구,P,309,6959,328,7004,349,7299,335,7892,357,7953,362,8304,723312,616150
서울특별시 중구,Q,696,9223,708,9873,731,10157,734,10581,736,11162,752,11072,794163,714414
서울특별시 중구,R,299,2237,312,2306,324,2374,221,2100,222,1944,236,1690,561658,427410
서울특별시 중구,S,1193,7286,1178,7205,1206,6991,970,5842,942,6136,927,6553,,
서울특별시 용산구,A,0,0,0,0,0,0,2,15,3,7,1,1,5635,4661
서울특별시 용산구,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시 용산구,C,569,2785,528,2608,487,2422,441,2226,335,1578,353,1782,177356,125574
서울특별시 용산구,D,3,10,3,42,2,4,2,22,1,28,2,14,45749,13374
서울특별시 용산구,E,8,138,8,146,9,140,9,98,12,198,12,224,,
서울특별시 용산구,F,277,6660,264,7403,269,7091,216,5965,227,5038,249,5148,280225,263101
서울특별시 용산구,G,4005,23820,3891,27257,3934,28670,3610,27165,3617,27386,3475,27494,2250336,2050959
서울특별시 용산구,H,181,2729,177,2839,174,2919,155,2870,149,2697,152,2837,281468,163038
서울특별시 용산구,I,2882,15974,2909,17079,3051,16183,2337,12407,2435,12826,2462,13944,398023,351123
서울특별시 용산구,J,408,9089,370,9254,356,9334,370,9314,422,9394,535,12723,1499537,998016
서울특별시 용산구,K,263,5839,241,5057,232,5068,223,4319,220,5346,244,6213,520683,464030
서울특별시 용산구,L,501,3775,512,3574,571,3608,541,3039,447,2603,447,2391,1753612,861227
서울특별시 용산구,M,602,17610,620,15225,656,15897,633,16319,668,17059,751,17090,,
서울특별시 용산구,N,268,11739,282,10188,300,11207,267,11700,266,12465,276,9750,2183971,1976239
서울특별시 용산구,P,336,5482,321,5601,312,5145,307,5289,274,4654,304,5149,368986,314824
서울특별시 용산구,Q,511,6136,534,6430,521,6945,515,7647,484,7005,526,7381,357002,322969
서울특별시 용산구,R,193,1328,193,1779,208,1542,161,1224,176,1552,175,2118,509987,358754
서울특별시 용산구,S,748,4647,735,4934,717,4499,632,3750,591,3841,611,3818,,
서울특별시 성동구,A,1,2,1,3,2,5,2,9,4,12,4,12,388,325
서울특별시 성동구,B,0,0,0,0,0,0,0,0,1,2,1,2,168,134
서울특별시 성동구,C,3215,26338,3130,25406,2973,24480,2753,21620,3026,22890,3001,22517,1534796,1168340
서울특별시 성동구,D,5,410,12,420,11,474,13,446,13,444,13,433,59090,17509
서울특별시 성동구,E,19,246,19,301,18,288,18,320,20,360,22,362,,
서울특별시 성동구,F,484,5791,484,5582,493,6146,431,6323,538,6180,530,7195,538701,505326
서울특별시 성동구,G,4410,28938,4385,29320,4712,31357,4511,29158,4809,33097,4953,33940,2618722,2386858
서울특별시 성동구,H,232,5800,252,6214,246,6229,217,5919,247,6605,262,5766,302116,181940
서울특별시 성동구,I,2107,9309,2152,10004,2337,10673,1938,8365,2134,9389,2308,11161,251312,232065
서울특별시 성동구,J,658,8569,762,10582,805,11544,963,13526,1292,17930,1633,20727,1456773,1076499
서울특별시 성동구,K,253,3978,278,4295,279,3857,270,3722,269,4094,272,3713,231393,209757
서울특별시 성동구,L,657,4738,700,4754,755,4993,708,4224,837,4374,909,4736,1399153,668480
서울특별시 성동구,M,1004,11476,1167,12938,1399,14856,1463,15863,1846,20516,2128,22363,,
서울특별시 성동구,N,307,15413,323,18978,373,17528,370,17678,459,16321,478,15043,2455686,2183760
서울특별시 성동구,P,512,8267,521,8111,562,8462,499,7633,508,6889,553,7886,770965,658365
서울특별시 성동구,Q,718,8161,719,8314,735,9045,748,9255,751,9204,775,10042,427523,387040
